Always good.... Battery is Superb... But sound Quality is Little bit Louder ... Remaining is Super... 	5
Phone is simply superb in all aspects...low light performance of the camera is outstanding...you simply cannot go wrong with this phone	5
Got delivered in just 2.5 hours of my order. No bad overservations yet. Fingerprint unlock is also good, if you have face unlock ON then all the time it will unlock with face data before the the fingerprint works.	5
As the slogan says never settle....proper flagship killer	5
One word Amazing phone	5
Great for all specs except for the battery life. Battery drains faster than expected. Without that totally worth it...	5
First and foremost...I really dont miss those 3.5 mm jack. Using bluetooth earpiece and the sound quality is top notch.Picture quality - initial shots taken are impressive.Battery life is best among all one plus phones.Build quality is superb. No issues with call clarity and now the best part...Oxygen OS. Its buttery smooth, fluidic and unputdownable. You will ne addicted to it.Only con is the weight of the device.	5
I like this product very much	5
Best pH ever..	5
Very nice and fantastic phn, the best smart phn till date, awesome camera good battery life	5
Well, as they claim, it is a flagship killer.Superfast charging, barely takes and hour to charge almost full. Speaker is loud enough.Worth the money. OnePlus also proved their worth over the years by providing timely android updates for a long time. So this phone can be used for atleast 5 years without any worries.Totally loved it.Got it delivered in less than 12 hours, all credit goes to Amazon.in for that.	5
Picture quality is good sound is also good but battery life is good if u don't play games.	5
Super nice	5
Just awesome	5
I like its full display and picture quality is good but temperd glass should be given to all customers	4
Best phone i ever had	5
This mobile is the best I have ever seen before... Picture quality and speed are awesome.. Sound is bit louder. Battery is the main perspective for me and it fulfilled that with great battery life.... Gaming experience is super graphics are awesome and not hanging even if it's a full graphical game. Camera is good. Overall it's the best.	5
Simply I love it..	5
Super	5
Issue with the Camera Slow Motion Mode is Not Working in Home Black Shade is Moving from left to right Sound Quality is not that good	5
Good	4
The OnePlus 6T is a truly great phone no matter what the price, but at half the cost of an iPhone XS with a cutting-edge in display fingerprint sensor this is the bargain buy of the year. Everybody is complaing about in-display fingerprint scanner is slow but trust me its very very very fast, phone gets unlocked as soon as your finger touches the screen and more accurate than other phones, this is the smartphone that brings all-screen design up a notch. The OnePlus 6T proves that cutting-edge technology doesnt have to cost the Earth, bringing an in-display fingerprint scanner and a tiny notch for just 37K. The gorgeous, crisp and colourful OLED display is a smidgen bigger at 6.41in, with a smaller chin at the bottom is simply amazing, coming to camera the new nightscape low light mode does a good job of eliminating hand-shake from long-exposure shots. The selfie camera is also pretty good Portrait mode works as advertised, Overall the camera on the OnePlus 6T is good and when you use the fingerprint sensor the night mode for the display is disabled temporarily and then fades back in once youve unlocked the phone. The phone comes with a screen protector already on it. the single bottom-firing speaker is loud and has a relatively large amount of bass for the phone, but is easily blocked while playing a game. OnePluss alert slider switches between silent, vibrate and ring and is still brilliant. OnePlus phones have always been good for the money, offering top specifications in well-built devices, but not pushing the boundaries of whats possible. Thats changed for the OnePlus 6T. It is pushing whats possible with the popular all-screen design using a tiny, attractive teardrop notch and a smaller chin, and its a better phone for it. But it is the introduction of a cutting-edge in-display fingerprint scanner, and making it work really well for as little as half the price of an iPhone XS, that is most impressive. theres no wireless charging, it doesnt have any of the fancy 3D face systems of some and it looks a little plain, but everything else is top notch. Even the software experience is excellent.Pros:- Good battery life, great screen, excellent performance, dual-sim, good camera, Bluetooth 5, great software, tiny notch, in-screen fingerprint sensor, alert slider, super-fast charging battery, affordable price relative to premium phones, last but not least Blazing fast softwareCons:- No notification light, glass back but no wireless charging, no expandable storage.Overall phone is excellent and it really delivers it's tagline Never Settle.Being a Amazon Prime Member Still Delivery Was Slow And Packing Is Very Poor.....	5
Dis is classic phone. All time. Best in class.	5
For the cost , this is one value for money product. It is feature rich and perfect for a person like me. Am an avid foodie and traveller. This is a perfect phone to capture what I want whenever I want . And with amazing clarity. Also amazing speed . I became a fan with OnePlus 3 and this one has be convinced that this is one of the best smart phone options out there.	5
Awesome love it 	5
Amazing Phone	5
Just superb	4
Crisp picture quality, impactful sound and an impressive battery life makes it a worthy investment. A blind buy for those who plan to upgrade to OnePlus from others...Fingerprint sensor, face unlock are exciting features but not indispensible.All in all its a fair deal if the base variant itself is 128gb!! What more can u ask for!!I'm happy...N yes...Thank you Amazon for the On time delivery..	5
Picture quality,sound and battery life is awesome	5
Totally loving the device, camera works beautifully with low light also, take awesome pictures. Selfie also come clean and sharp. 6gb ram can run two demanding games simultaneously in split screen without any lag. Apps looks nice on bigger screen, even videos looks great with sharp viewing angles and bright colors.Dash charge, charges very fast keeping the battery long enough for 8-9 hours for heavy users.In display fingerprint works like charm with beautiful animation but doesn't seem to be faster than previous type of scanner. Though face unlock is more faster than all.Only downside is from software side, oxygen os is very fluid and smooth, 1)android pie has its issues, adaptive brightness automatically shift itself to lowest light every time screen goes off. So need update on that side.People were complaint so much about 3.5 jack but i think very much manageable with the adapter provided	5
The OnePlus 6T is undeniably the most advanced and accomplished phone from the company till now. The OnePlus 6 is still good, but the 6T gives it a boost in the battery department and a fancy way to unlock at a perfect price.Cons :Concern is the notification led light. we are not sure whether battery is 100% while charging. Single touch display to see notification is beautiful.One plus should have added the charge + 3.5 jack in type c converter. which would be added value for those who watch movie or listen song while charging.	5
Pros: Glamorous looks, great free case, free screen guard, camera like SLR, super fast, face detection is lightening fast.Cons:  On screen sensor not super quick if not properly setup. If you setup properly, it's good.	5
Picture quality superbActually OnePlus 3t 5 5t 6 in my family finally I got OnePlus 6tSound quality superbBattery backup also fineThere is no need to woory about battery backup because dash charging is hereProcessing speed also superbAnd upto now there is no minus I saw still 10days	5
