Processor is so bad.and not working properly.so please note this point.otherwise redmi 5a processor is so good	1
Don't buy this product. It is not recognizing the second Sim. Its a different and a saperate slot for 2nd sim unlike the other phones  and the phone is not recognizing the 2nd slot. It's better if both the SIM cards are placed in single slot.  Battery backup is very low, you will need to charge twice daily.	1
Too slow go for reminder 5a it's far better than 6a hanging issue	1
Totally a waste product ... Poor Touch screen ...  Hanging several times. Amazon team is also not responding on my new device....10 days returns policy is just a foolish term at all.	1
Phone is very slow & hanging also. Failed in mi model. Pls don't buy it. Go to another model.	1
I bought 6a only 1 day ago..battery is too poor.8 hours hold it mobile in 2g network last night data off no other application on..automatically 18 percent down battery.	1
I am disappointed. I rcvd a faulty charger which is not working. This is cheating and I will NVR recommend anyone to buy this product. PLS HELP REPLACE CHARGER	1
Everything in this phone is good. But I got a faulty phone. The proximity sensor is not working. The Amazon service providers continuously told me lie regarding replacement and return. And now I m just to break the phone. Their lies was highly humiliating.	1
Mobile is not loaded with anything , but feel like hanging all time .. I guess UI OR software problem	1
Hanging at the intial stage without any apps downloaded and worst response from Amazon.  Proximity sensor not working	1
battery drains from 90% to 5% in 2 hours even if the phone is idle and data swiched off. the problem is with this phone only other wise MI phones have the best battery. Seems like i got a defective item	1
very bad camera	1
The speaker is not working properly.  Whenever anyone calls me I can not hear his/her voice clearly. I wanted a replacement but they denied that.	1
Its Only 12days of using this Device and it is not able to get charge. really unhappy with this product. This is the first bad experience for me from amazon.	1
I bought mobile Redmi 6A not more than a week. Battery life is not good. Even without any usage, battery drains automatically.	1
Alarm is not working.  Performance issues with phone.  Yet time phone does not respond.  Need to reboot as well.	1
Worst product by xiaomi, works like basic phone. Processor is very slow. worst bowsing experience.	1
Defective phone delivered	1
Battery and Sound Quality very poor Charger Not Working Data cable lockal company Change my Charger	1
Battery life is very poor, it comes down from 100 to 30. Overnight..	1
Not a good product...didnt like it. Would like to return it back	1
HANGING ISSUE DISPLAY BLACKOUT SOUND LOW ALARM NOT GOOD DON'T PURCHASE	1
Quality is very poor.  I am thinking that I want to return it this mobile.	1
Making difficult to Charge mobile on normal use,because of the battery Condition.	1
Phone frequently Hanging, Battery backup poor, very low in Ring Volume	1
It automatically switched off after sometimes of use	1
Sound is very very low and battery last upto 4 hrs of continous use.	1
Bad	1
Not good	1
bekaar product hai or.amazon wale replace b nai kr rhe	1
I hate because my charging missing	1
Slow speed and screen not good	1
Phone restarting automatically	1
MI symbol does not occur on phone	1
Battery performance are not good	1
Worse product	1
Super	1
SIM slot 2 not working	1
Battery getting drained much quicker	1
Bad product not to buy this	1
I got cracks on my screens	1
Picture not upto the mark	1
Don't buy .buy realme c1	1
Mobile quality not good	1
very hungful so bad	1
Very slow and leggy	1
Don't buy	1
This is demaged	1
battery Life	1
I don't like	1
Waste	1
Very hanging	1
DAMAGE PIECE	1
My expectations were huge when i ordered the Redmi 6A. But when i got the product it was a defective one. The second slim slot was not accepting SIM. I Initiated the return and it was very fast, good service by amazon. But still quality checks of products should be done accurately to avoid such issues.	1
Don't waste your money, the processor is supper slow and will take ages to load. Waste of Money!!! Nice experiment in budgeted category by REDMI; however, it has broken the trust I had :(	1
Called to return this device but the only replace it but I can't get a refund. Don't buy this phone if you need decent speed. This phone is too slow and camera quality is so cheap for 6000. 3500 would justify the money.	1
I recieved the mobile after 5days. The mediatek processor is very slow while opening the apps it takes ages to open while battery is disgusting while compring 6a to 5a is far better. 5a contains sd425 is far better while opening the youtube it takes time to open while at th booting it takes to restart the phone. It is worst exprience with phone.	1
My device face enroll option is not show	1
Nice	1
am used this brand from 3 years ago but this handset is totally worthless product	1
Gift voucher is not valide	1
very good	1
Hanging problems on first day, even no extra app installed, not smooth to use.	1
Hhgh	1
I am not able to book this phone I don't no what problem is going on... I am trying from 3 days had call to customer care also... But amazone said try again it will book	1
Bhai sound quality down & battery backup is very low this phone is bad response for me & I suggest to you don't buy this phone	1
This smartphone has a hardware issue. It's second sim slot is not working. I am sure that I  have only got the defective product or not. I opted for replacement. I do not expect a smartphone manufacturer such as Xiaomi which has poor quality checkup standards. I am hoping to get working smart after replacement.	1
The phone is too slow. Please don't go for this. Despite of having 2GB RAM, Phone lags too much. And you will get unnecessary ads by Xiaomi. Which gets really annoying sometimes.	1
Worst	1
Happy	1
Bill is not with us	1
The phone which I purchased through amazon is a worst, I cannot trust amazon anymore, I purchased Redmi 6A on 12th of Nov. I own the phone tried using it, since its a dual sim, I inserted my two sim, n tried using,the second sim was not detectable, I took out again n tried inserting again,the same thing was showing on, I took the new phone to a mobile shop to show it, den the shopkeeper said the motherboard is not good, so funny the new phone which I purchased was from amazon redmi 6A,is not a good phone, I have kept the phone to change the mother board..worst experience ever...	1
Very bad phone please don't buy any one I use it for a month and it not working properly it hanged at any instant.	1
Price is too high	1
Not give cod	1
Thu	1
During the call without headset, the display is not getting off so that, it resulting to adding another call and sometime hold the current calls without knowledge. While speaking the display should off to avoid such issues where proximity sensor is not functioning in the mobile, when check with customer care they are asking to format all the data's and handover the mobile to them for software update..., very much disappointed.., why cant we should have update directly from MI	1
SO MANY LAGS DON'T BUY IT	1
one of the worst phone from mi its interface is very bad while on a call its opening different applications	1
Very poor	1
Very bad product , very slow , even WiFi is not getting connected.	1
Faulty phone received	1
Sound quality for incoming  call so bad.	1
Whenever I'm keeping auto brightness option there is no change	1
Please dont buy this phone useless u can not play video above  460p	1
Worst product. Do not buy Amazon	1
It's waste product not properly working	1
Accessories are not found	1
I don't know	1
Receiving voice is not ok.	1
got phone and after 2 days display got stopped working and called to customer care and still no one came for replacement	1
Picture quality is good. Sound quality is good battery life was very poor. Overall performance is average. My personal suggestions don't buy it	1
not good offer	1
Medium	1
its very bed phone by mi. display light is two dark when we make full brightness. sound is also not good.mi 6A is not a good instate of mi 5A. just one good feature  is that this is not a hybrid .	1
intially phone was getting automatciyy restarted from day 1 now on day 3 even its not getting started.	1
Poor quality	1
IFB Automotive Private Limited 58 Vinod industry area pincod 122413	1
Low quality product	1
Pathetic battery life, drains in less than 1 day..	1
I was return the product more issue I found Processor very poor quality	1
If any one ask me about this...  I'll never recommend this phone.  Worst phone ever I bought. Hangs everytime and irritates too much.	1
Simpl	1
SOME TIME APPS STOP WORKING	1
Picture quality and battery life is average bt sound quality is bad.... I request to buy other redmi phone	1
Battery life is good however mic is not good, every listener to my calls are complaining that they cant hear me until I put phone close to my mouth.	1
Mobile Camera not working	1
No	1
Bad phone	1
Good	1
Box alrady open	1
